Title,Content,Category,Type,Link
Heat Treatment of SOD Infected Wood,"""Preliminary observations of heat treatment to control Phytophthora ramorum in infected wood species"" presented at Sudden Oak Death Science Symposium III. March 5-9, 2007, Santa Rosa, CA",Hardwood,SOD,https://drive.google.com/file/d/1PimtE-pWyOgQ29qCWenjFaG2uRY-QZOv/view?usp=drive_link
Tanoak Manufacturing Process,"A slideshow of the process of tanoak production, shown at The Fifth Sudden Oak Death Science Symposium in Petaluma, CA from June 19-22.",Hardwood,SOD,https://drive.google.com/file/d/1wQtfBaMTWX5N5HtN_XR6vhxk6yQQJubB/view?usp=drive_link
Oak Woodland as a Potential Resource,An examination of oak woodland as a potential resource for higher-value wood production,Hardwood,,https://drive.google.com/file/d/1IoP2oXffZY42jjWRjxXrRnkRF7ZfdNhL/view?usp=drive_link
Hardwood Handbook - Chapter 6,Basic Drying Methods,Hardwood,Reference,https://drive.google.com/file/d/1ty7lF3aGZKFtdmyj1Wd947GrDlTW7LWr/view?usp=sharing
Hardwood Handbook - Chapter 8,Defects and Quality Control,Hardwood,Reference,https://drive.google.com/file/d/1UqtLnwnhHzMOmL3-Wg86G24plpRbiuWv/view?usp=drive_link
Understanding California Hardwoods,"Discussion of the important physical, mechanical and woodworking properties of some common California hardwood species. Includes information on wood drying principles and practice and a discussion of wood boring insects sometimes encountered by the woodworker. Presented to the Bay Area Woodworkers Association on October 17, 2013.",Hardwood,,https://drive.google.com/file/d/1fxBzP1Yq8xmWfIe3se36wJAlAFYbh8jn/view?usp=drive_link
An Examination of the Oak Woodland as a Potential Resource for Higher-Value Wood Products,"In 'Proceedings of a symposium on oak woodland: ecology, management, and urban interface issues; 19-22 March 1996: San Luis Obispo, CA. (General Technical Report PSW-GTR-160, Albany, CA: US Department of Agriculture, Forest Service. Pacific Southwest Research Station.)",Hardwood,,https://drive.google.com/file/d/1IoP2oXffZY42jjWRjxXrRnkRF7ZfdNhL/view?usp=drive_link
Evaluating the survival of Phytophthora ramorum in Firewood,In this follow-up project we specifically analyzed the survival of Phytophthora ramorum in firewood as it was thoroughly air-dried (seasoning) to a final moisture content of 15% MC. The aim was to evaluate the risk of spreading SOD through the distribution of firewood and fuel wood.,Hardwood,SOD,https://drive.google.com/file/d/1Yw1dwmjyVbaBr7usdyGJimw55Ea14xKg/view?usp=drive_link
"Developing a Drying Schedule for a ""new-to-You"" Species","Information and techniques required for developing a drying schedule for a ""new-to-you"" wood species, using Tanoak in a detailed example.",Hardwood,,https://drive.google.com/file/d/1zudFs6Nzx12BQpDWjF8G7Fka73dpTawT/view?usp=drive_link
Hardwood Handbook - Chapter 7,Kiln Structures to House Lumber Driers,Hardwood,Reference,https://drive.google.com/file/d/1TVzHow0R1CmGcNFAeLzq6W08Evm1-Gk2/view?usp=drive_link
Hardwood Handbook - Chapter 4,Moisture Content and its Measurement,Hardwood,Reference,https://drive.google.com/file/d/1FklOpuhQyvLcKj4FOSS8mQsrNNfulQY4/view?usp=drive_link
California Hardwoods - Opportunities and Challenges,Overview of the opportunities and challenges facing the industry. Includes information on the physical and wood working properties of underutilized species found in areas of California,Hardwood,,https://drive.google.com/file/d/1XoBcYdOLkxTNNuPEJZifaQJ6SW1nX5l1/view?usp=drive_link
Oak Woodland Utilization,"Presentation given as part of a webinar series: Guidelines for Managing Oak Rangelands. University of California Agriculture and Natural Resources. March 22, 2011.",Hardwood,,https://drive.google.com/file/d/1GzHtt9_s68LdWf0-vrDCgJovA-YwfxHS/view?usp=drive_link
Drying California Hardwoods,"Presentation given at Urban Forest Products of California Conference. San Fransisco, California. May 19, 2011",Hardwood,,https://drive.google.com/file/d/1WmVTibuGPS-iLYzNIDNWeh6BMi1QkMCM/view?usp=drive_link
Hardwood Handbook - Chapter 3,Processing Underutilized Hardwood Resources into Lumber,Hardwood,Reference,https://drive.google.com/file/d/1cLRyZTzENb18xXAw7v2OCin-WLi_ZdY1/view?usp=drive_link
Removal and Utilization of High Risk SOD Host Material,"Removal and Utilization of High Risk Sudden Oak Death Host Material Final Report September 30, 2005",Hardwood,SOD,https://drive.google.com/file/d/17WRsIIGf5rBirOw07EMFtiTffW8yiqKW/view?usp=drive_link
Hardwood Handbook - Chapter 5,Stacking and Loading Lumber for Kiln Drying,Hardwood,Reference,https://drive.google.com/file/d/1yNB_86T031716uyRwkfSo25yAlQkX8Oq/view?usp=drive_link
Hardwood Handbook - Chapter 1,Structure and Properties of Wood,Hardwood,Reference,https://drive.google.com/file/d/1KCj5xTYi2MGttefdcJSJ3egl2nHE0E0N/view?usp=drive_link
Does it Make 'Cents' to Process Tanoak to Lumber?,"Summary of project to develop recovery, yield and processing information on the manufacturing of lumber from the tanoak resource in northwest California",Hardwood,,https://drive.google.com/file/d/1aspKVdiwzvs6vf7qG7S9WpCdKstW2y_a/view?usp=drive_link
Tanoak Utilization,Tanoak Lumber Recovery and Yield Study,Hardwood,,https://drive.google.com/file/d/1M9_RICrizMunZs0nVVVZREic9aKKUR-G/view?usp=drive_link
Tanoak as a Forest Products Resource,"The powerpoint by John Shelly and Steve Quarles presented at The Fifth Sudden Oak Death Science Symposium, held in Petaluma, CA from June 19-22",Hardwood,SOD,https://drive.google.com/file/d/1vyLjKmTDynBhzPOWyDT4FshqZ_rDfgNy/view?usp=sharing
Lumber Drying Principals and Practice,This document presents drying methods and techniques to minimize drying defects,Hardwood,,https://drive.google.com/file/d/1R_oP_50u4N2zo2SVqVegt77lQDH4HhvH/view?usp=drive_link
Hardwood Handbook - Chapter 2,Understanding How Wood Dries,Hardwood,Reference,https://drive.google.com/file/d/1L2C_YrsTSTFHKzrXXBJUJ6H165V5f7lV/view?usp=drive_link
Hardwood Handbook - All Chapters,,Hardwood,Reference,https://drive.google.com/file/d/1mjWI_dZs4ZUZjzc5srpyIuvhTRYO40kn/view?usp=drive_link
