Title,Content,Category,Type,Link
Fort Bragg Biomass Power Facility (January 2008),"A feasibility analysis for a 15 Megawatt biomass power project in Fort Bragg, California. (Carlson Small Power Consultants)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1gIt7r0PoTJUBKLxj0k3T5bdKldOPTuFz/view?usp=sharing
Biomass Power and Thermal Heat Facility at the Parlin Fork Conservation Camp (October 2009),"A feasibility study to evaluate heat and power systems for the Parlin Fork Conservation Camp using locally available woody biomass, aiming to be technically and environmentally compatible and permittable. (TSS Consultants)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1HscypTjYfc_z15aX81_nLD4TvPRBwbi2/view?usp=drive_link
Fast Pyrolysis Demonstration in Northern California (2010),A project to demonstrate fast pyrolysis using mobile equipment. (CARC&DC),Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1f9s60xStk6bD9bbCogg8DIz1C090NFmG/view?usp=drive_link
Woody Biomass Feedstock Yard Business Development Guide,"A resource and business guide to developing a woody biomass collection yard. USDA Forest Service, 2010",Other,,https://drive.google.com/file/d/1d8TRgoDaR6SlNMMTlNCT1xdW2ZRyc2-u/view?usp=drive_link
Woody Biomass Utilization Workshop Series (2007-2010),"A series of workshops designed to provide up-to-date, science based information on woody biomass utilization technology and the opportunities and challenges relevant to the local communities proximate to the workshop locations. (UC Berkeley)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1HL30IOPRjMbqfYVB9i0_Lpqu14P57GtH/view?usp=drive_link
Yuba Foothills Biomass Feasibility Study (December 2010),"A two phase feasibility study assessing possible sites and the availability of biomass fuel for a potential biomass fired power generation facility in Yuba County. Report includes surveys, cost analysis and recommendations. (TSS Consultants)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1zS5sI51_GNsHWbguP77yHAL-J71MpJTj/view?usp=drive_link
Biomass CHP Technologies for Tahoe Basin (Placer County) (October 2008),An assessment of small-scale biomass combined heat and power (CHP) technologies for the Lake Tahoe Basin. Direct combustion and gasification systems were evaluated to produce electrical energy and heat from biomass materials with air emissions low enough to be permissible in the area. Recommendations and financial analysis are given for a site identified as having potential for CHP installation. (TSS Consultants),Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1hxIaXjeLQnfHjnTBCpsBnsdj-2eB5-2O/view?usp=drive_link
Cost Estimates for Capital and O&M based on Technology Review (March 2009),Capital and O&M estimates based on RFP responses from vendors for major system components. Results deemed approximate +/- 15%. (Redacted copy) (TSS Consultants),Other,Feasibility,https://drive.google.com/file/d/1FZRR1HOxSYh8euc7OQkrFlUBPryJgddY/view?usp=drive_link
SCE Biomass Power Plant Environmental Analysis (April 2009),Environmental analysis for proposed biomass power plant at Shaver Lake for Southern California Edison (TSS Consultants).,Other,Feasibility,https://drive.google.com/file/d/1q4zD60cWPGarIwBA3Le_GCpMzHBlViLa/view?usp=drive_link
Biomass Heating of Buildings and Snow Melting at a Ski Resort (September 2010),"Feasibility study of the use of biomass fired furnaces and boilers to head buildings and melt snow at Sierra-at-Tahoe Mountain Resort, CA. Report includes availability and cost of biomass, capital and operating costs, and environmental and permitting issues. (TSS Consultants)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1hIQaL7IMETG0WY_IJHnS9u8XpIB597Yl/view?usp=drive_link
Biomass Heating at the Sierra Outdoor School (October 2010),"Feasibility study on the use of various alternative biomass heating systems at the Sierra Outdoor School, Sonora, CA. The report covers design options, financial costs - purchasing and installation, fuel and operational, biomass availability and permitting requirements. (BioEnergy Solutions)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/162CBWpaQOKIxg-tlJfHltrMBLWcoWeJf/view?usp=drive_link
"Biomass Heating System at a School Campus in Alturas, CA (July 2008)","Feasibility to install a biomass fired thermal energy system on the Alturas elementary / Modoc Middle school campus. Review covers the availability and cost of woody biomass fuels, selection of equipment vendor and estimated cost of equipment associated with a woody biomass thermal energy system to supply heating for a school campus. (TSS Consultants and Precision Energy Services)",Other,Feasibility CARC&D Funded,https://drive.google.com/file/d/1Ew6eysJVpUt0uIW1iI2nQuJEtArfpKSk/view?usp=drive_link
